,voted_for_republican,very_freq_voter,freq_voter,voted_03_05_2013,voted_05_21_2013,voted_06_07_2016,age,party,education,ismarried,home_owner,renters,ethnic,sex,hhcount
83,0,1,1,0,0,1,22.0,D,masters,N,,N,black,F,2
84,0,1,1,1,1,1,74.0,D,some_college,Y,H,N,black,F,1
85,1,0,0,0,0,1,24.0,R,high_school,N,,Y,,F,2
86,1,1,1,1,1,1,43.0,R,HS_drop_out,N,H,N,,F,1
87,1,0,0,0,0,0,32.0,DS,trade_school,N,,Y,white,M,2
88,0,1,1,1,1,1,65.0,D,bachelors,Y,H,N,,F,2
89,0,1,1,1,1,1,59.0,R,masters,N,H,N,indian,F,4
90,0,1,1,1,1,1,81.0,DS,,Y,H,Y,black,M,1
91,1,0,1,1,0,0,30.0,R,masters,N,H,N,white,M,3
92,1,0,1,0,0,1,70.0,D,masters,Y,H,N,white,F,2
93,1,1,1,0,0,1,48.0,D,trade_school,N,H,Y,white,M,2
94,0,1,1,1,1,1,59.0,R,HS_drop_out,N,,Y,,F,1
95,1,1,1,1,1,1,22.0,D,trade_school,N,H,N,white,M,5
96,0,1,1,1,1,1,74.0,D,some_college,N,H,N,white,,1
97,0,1,1,0,0,1,64.0,D,some_college,N,,N,,F,1
98,0,0,0,1,1,0,97.0,D,some_college,N,H,N,,F,1
99,1,0,0,0,0,0,80.0,R,masters,N,H,N,,M,2
100,0,0,1,1,0,1,70.0,D,bachelors,Y,H,N,,F,2
101,1,1,1,0,0,1,28.0,D,some_college,N,,Y,white,F,1
102,0,1,1,1,1,1,73.0,D,some_college,N,,Y,,F,1
103,0,0,0,0,0,0,18.0,D,some_college,N,,Y,,F,1
104,0,0,1,1,0,1,69.0,R,HS_drop_out,N,H,Y,white,F,1
105,1,1,1,1,1,1,67.0,D,trade_school,N,,Y,white,F,2
106,0,1,1,1,1,1,43.0,D,bachelors,N,H,Y,indian,F,2
107,0,1,1,1,1,1,64.0,D,bachelors,N,,Y,,F,2
108,0,1,1,1,1,0,36.0,DS,,N,,Y,black,M,1
109,0,1,1,1,1,1,71.0,R,HS_drop_out,Y,H,N,white,F,1
110,0,0,0,0,0,1,77.0,D,some_college,N,H,Y,white,F,1
111,1,1,1,1,1,1,71.0,R,masters,Y,H,N,white,M,3
112,0,0,1,0,1,1,52.0,D,trade_school,N,H,N,white,F,4
113,0,1,1,1,1,1,79.0,D,bachelors,N,H,N,white,F,2
114,0,1,1,0,1,1,70.0,D,some_college,N,,Y,asian,M,1
115,0,0,1,0,1,1,27.0,D,some_college,N,,Y,hispanic,F,1
116,0,1,1,1,0,1,82.0,D,some_college,N,H,N,black,M,1
117,1,1,1,1,1,1,58.0,D,bachelors,N,H,N,hispanic,F,6
118,0,1,1,1,1,1,83.0,D,masters,N,,N,white,F,3
119,1,1,1,1,1,1,62.0,D,some_college,N,,Y,white,M,1
120,0,0,0,0,0,1,31.0,DS,trade_school,N,,Y,hispanic,M,2
121,1,1,1,0,0,1,28.0,D,trade_school,N,,Y,indian,F,2
122,0,1,1,0,1,1,76.0,R,doctorate,Y,H,N,indian,M,2
123,0,0,0,0,0,1,32.0,D,some_college,N,,N,black,F,1
124,0,1,1,1,1,0,80.0,D,some_college,N,H,N,white,F,1
125,1,1,1,1,1,0,78.0,DS,,N,,Y,white,F,1
126,1,0,0,0,0,0,39.0,D,bachelors,N,H,N,,F,2
127,0,0,1,1,0,1,44.0,D,bachelors,N,,N,hispanic,F,2
128,0,1,1,1,1,1,38.0,R,doctorate,Y,,Y,white,F,2
129,1,1,1,1,1,1,56.0,D,some_college,N,,Y,white,M,1
130,0,0,1,0,1,0,57.0,D,masters,Y,H,N,,M,3
131,1,1,1,1,1,1,76.0,R,HS_drop_out,N,,Y,white,M,1
132,0,1,1,1,1,1,28.0,DS,high_school,N,H,N,white,M,3
133,1,1,1,1,1,1,64.0,D,trade_school,N,H,N,white,M,2
134,0,0,0,0,0,1,44.0,DS,high_school,N,,Y,,F,2
135,1,0,1,1,0,1,55.0,DS,,N,H,N,asian,F,1
136,0,0,0,0,0,0,69.0,R,HS_drop_out,N,,N,white,F,1
137,1,0,0,0,0,1,41.0,D,some_college,N,,Y,white,F,1
138,1,1,1,0,0,1,49.0,DS,trade_school,N,,N,,M,2
139,0,1,1,1,1,1,73.0,D,bachelors,Y,H,N,,M,2
140,0,1,1,1,0,1,51.0,D,bachelors,Y,H,N,black,F,2
141,0,0,0,0,0,1,75.0,D,some_college,N,H,N,white,M,1
142,0,1,1,1,0,1,94.0,D,some_college,N,H,N,white,M,1
143,1,1,1,0,1,1,38.0,D,masters,N,,N,black,M,2
144,0,1,1,0,0,1,57.0,D,some_college,N,,Y,white,M,1
145,0,1,1,1,1,1,58.0,DS,,N,H,N,white,F,1
146,1,1,1,1,1,1,86.0,R,HS_drop_out,N,H,Y,white,M,1
147,0,1,1,1,1,1,58.0,D,bachelors,N,,N,black,F,4
148,1,1,1,1,1,1,79.0,R,masters,N,,Y,jewish,M,3
149,0,1,1,1,1,1,83.0,D,bachelors,N,,N,jewish,M,3
150,0,1,1,1,1,1,85.0,D,some_college,N,H,N,black,M,1
151,1,1,1,1,1,1,91.0,D,trade_school,N,H,N,white,M,3
152,0,0,0,0,0,0,46.0,DS,trade_school,N,,Y,white,M,3
153,1,1,1,1,1,1,83.0,D,bachelors,Y,H,N,black,M,2
154,1,1,1,0,0,1,56.0,D,some_college,N,,Y,jewish,M,1
155,0,0,1,1,0,1,93.0,R,HS_drop_out,N,H,Y,,F,1
156,0,1,1,1,1,1,53.0,DS,trade_school,N,H,N,white,M,3
157,0,1,1,0,0,1,41.0,D,some_college,N,,Y,white,M,1
158,1,0,0,0,0,0,22.0,D,bachelors,N,,Y,white,F,2
159,1,1,1,1,1,1,71.0,D,some_college,N,H,Y,indian,M,1
160,0,1,1,1,1,1,82.0,D,some_college,N,H,N,black,F,1
161,1,1,1,1,1,1,61.0,R,high_school,N,H,N,white,M,2
162,1,1,1,1,1,1,44.0,D,high_school,N,,N,,F,3
163,1,0,1,0,0,0,28.0,D,some_college,N,H,Y,hispanic,F,1
164,0,0,0,0,0,1,21.0,D,some_college,N,,Y,hispanic,M,1
165,0,0,1,0,0,1,64.0,D,bachelors,N,,Y,black,F,3
166,0,0,0,0,0,0,39.0,D,some_college,N,,N,asian,F,1
167,0,0,1,1,0,1,24.0,D,trade_school,N,H,N,,F,3
168,0,1,1,1,1,1,77.0,D,bachelors,N,,N,white,F,2
169,1,0,0,0,0,0,21.0,D,bachelors,N,H,N,black,M,4
170,0,0,0,0,0,1,24.0,D,bachelors,N,,N,white,F,4
171,0,1,1,1,0,1,82.0,D,masters,N,H,N,white,F,2
172,1,0,0,0,0,1,50.0,R,high_school,N,H,N,,M,3
173,0,1,1,1,1,1,60.0,D,bachelors,Y,H,N,asian,M,3
174,1,1,1,0,1,1,37.0,D,bachelors,N,H,N,,M,3
